2025-04-05T22:52:23.097+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-05T22:47:00.175444+00:00 [queued]>
2025-04-05T22:52:23.382+0000 [WARNING] Line 180 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.382+0000 [WARNING] Line 181 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.382+0000 [WARNING] Line 182 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.382+0000 [WARNING] Line 183 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.382+0000 [WARNING] Line 184 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.382+0000 [WARNING] Line 185 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.382+0000 [WARNING] Line 186 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.383+0000 [WARNING] Line 187 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.383+0000 [WARNING] Line 188 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.383+0000 [WARNING] Line 189 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.383+0000 [WARNING] Line 190 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.383+0000 [WARNING] Line 191 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.383+0000 [WARNING] Line 192 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.383+0000 [WARNING] Line 193 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.383+0000 [WARNING] Line 194 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.384+0000 [WARNING] Line 195 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.384+0000 [WARNING] Line 196 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.384+0000 [WARNING] Line 197 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.384+0000 [WARNING] Line 198 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.384+0000 [WARNING] Line 199 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.385+0000 [WARNING] Line 200 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.385+0000 [WARNING] Line 201 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.385+0000 [WARNING] Line 202 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.385+0000 [WARNING] Line 203 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.385+0000 [WARNING] Line 204 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.385+0000 [WARNING] Line 205 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.385+0000 [WARNING] Line 206 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.385+0000 [WARNING] Line 207 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.386+0000 [WARNING] Line 208 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.386+0000 [WARNING] Line 209 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.386+0000 [WARNING] Line 210 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.386+0000 [WARNING] Line 211 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.386+0000 [WARNING] Line 212 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.386+0000 [WARNING] Line 213 has 18 fields - attempting smart truncation
