2025-04-04T21:51:29.721+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T21:46:24.490102+00:00 [queued]>
2025-04-04T21:51:29.727+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T21:46:24.490102+00:00 [queued]>
2025-04-04T21:51:29.727+0000 [INFO] Starting attempt 1 of 4
2025-04-04T21:51:29.925+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-04 21:46:24.490102+00:00
2025-04-04T21:51:29.929+0000 [INFO] Started process 2469 to run task
2025-04-04T21:51:29.934+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-04T21:46:24.490102+00:00', '--job-id', '810', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpkam0lf27']
2025-04-04T21:51:29.936+0000 [INFO] Job 810: Subtask processing.extract
2025-04-04T21:51:30.070+0000 [WARNING] Line 82 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.070+0000 [WARNING] Line 83 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.070+0000 [WARNING] Line 84 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.070+0000 [WARNING] Line 85 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.071+0000 [WARNING] Line 86 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.071+0000 [WARNING] Line 87 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.071+0000 [WARNING] Line 88 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.071+0000 [WARNING] Line 89 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.071+0000 [WARNING] Line 90 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.071+0000 [WARNING] Line 91 has 18 fields - attempting smart truncation
2025-04-04T21:51:30.071+0000 [WARNING] Line 92 has 18 fields - attempting smart truncation
