2025-04-04T16:58:53.253+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T16:57:14.344247+00:00 [queued]>
2025-04-04T16:58:53.265+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T16:57:14.344247+00:00 [queued]>
2025-04-04T16:58:53.266+0000 [INFO] Starting attempt 1 of 4
2025-04-04T16:58:53.291+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-04 16:57:14.344247+00:00
2025-04-04T16:58:53.305+0000 [INFO] Started process 2517 to run task
2025-04-04T16:58:53.315+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-04T16:57:14.344247+00:00', '--job-id', '826', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmp3odpbs6d']
2025-04-04T16:58:53.319+0000 [INFO] Job 826: Subtask processing.extract
2025-04-04T16:58:53.419+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T16:57:14.344247+00:00 [running]> on host 6adf0d434abe
2025-04-04T16:58:55.364+0000 [WARNING] Line 74 has 18 fields - truncating to 14
2025-04-04T16:58:55.364+0000 [WARNING] Line 75 has 18 fields - truncating to 14
2025-04-04T16:58:55.364+0000 [WARNING] Line 76 has 18 fields - truncating to 14
2025-04-04T16:58:55.364+0000 [WARNING] Line 77 has 18 fields - truncating to 14
2025-04-04T16:58:55.364+0000 [WARNING] Line 78 has 18 fields - truncating to 14
2025-04-04T16:58:55.365+0000 [WARNING] Line 79 has 18 fields - truncating to 14
2025-04-04T16:58:55.365+0000 [WARNING] Line 80 has 18 fields - truncating to 14
2025-04-04T16:58:55.365+0000 [WARNING] Line 81 has 18 fields - truncating to 14
2025-04-04T16:58:55.365+0000 [WARNING] Line 82 has 18 fields - truncating to 14
2025-04-04T16:58:55.366+0000 [WARNING] Line 83 has 18 fields - truncating to 14
2025-04-04T16:58:55.366+0000 [WARNING] Line 84 has 18 fields - truncating to 14
2025-04-04T16:58:55.366+0000 [WARNING] Line 85 has 18 fields - truncating to 14
2025-04-04T16:58:55.366+0000 [WARNING] Line 86 has 18 fields - truncating to 14
2025-04-04T16:58:55.366+0000 [WARNING] Line 87 has 18 fields - truncating to 14
2025-04-04T16:58:55.367+0000 [WARNING] Line 88 has 18 fields - truncating to 14
2025-04-04T16:58:55.367+0000 [WARNING] Line 89 has 18 fields - truncating to 14
2025-04-04T16:58:55.367+0000 [WARNING] Line 90 has 18 fields - truncating to 14
2025-04-04T16:58:55.367+0000 [WARNING] Line 91 has 18 fields - truncating to 14
2025-04-04T16:58:55.368+0000 [WARNING] Line 92 has 18 fields - truncating to 14
2025-04-04T16:58:55.368+0000 [WARNING] Line 93 has 18 fields - truncating to 14
2025-04-04T16:58:55.368+0000 [WARNING] Line 94 has 18 fields - truncating to 14
2025-04-04T16:58:55.368+0000 [WARNING] Line 95 has 18 fields - truncating to 14
2025-04-04T16:58:55.368+0000 [WARNING] Line 96 has 18 fields - truncating to 14
2025-04-04T16:58:55.369+0000 [WARNING] Line 97 has 18 fields - truncating to 14
2025-04-04T16:58:55.369+0000 [WARNING] Line 98 has 18 fields - truncating to 14
2025-04-04T16:58:55.369+0000 [WARNING] Line 99 has 18 fields - truncating to 14
2025-04-04T16:58:55.369+0000 [WARNING] Line 100 has 18 fields - truncating to 14
