2025-04-03T22:37:15.793+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:36:13.101621+00:00 [queued]>
2025-04-03T22:37:15.816+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:36:13.101621+00:00 [queued]>
2025-04-03T22:37:15.816+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:37:15.835+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:36:13.101621+00:00
2025-04-03T22:37:15.888+0000 [INFO] Started process 1501 to run task
2025-04-03T22:37:15.913+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T22:36:13.101621+00:00', '--job-id', '487', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmp3ywp7_jr']
2025-04-03T22:37:15.926+0000 [INFO] Job 487: Subtask processing.extract
2025-04-03T22:37:16.307+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:36:13.101621+00:00 [running]> on host 13c9a988b40a
2025-04-03T22:37:19.388+0000 [WARNING] Line 204 has 18 fields - truncating to 14
2025-04-03T22:37:19.388+0000 [WARNING] Line 205 has 18 fields - truncating to 14
2025-04-03T22:37:19.388+0000 [WARNING] Line 206 has 18 fields - truncating to 14
2025-04-03T22:37:19.389+0000 [WARNING] Line 207 has 18 fields - truncating to 14
2025-04-03T22:37:19.389+0000 [WARNING] Line 208 has 18 fields - truncating to 14
2025-04-03T22:37:19.389+0000 [WARNING] Line 209 has 18 fields - truncating to 14
2025-04-03T22:37:19.390+0000 [WARNING] Line 210 has 18 fields - truncating to 14
2025-04-03T22:37:19.390+0000 [WARNING] Line 211 has 18 fields - truncating to 14
2025-04-03T22:37:19.390+0000 [WARNING] Line 212 has 18 fields - truncating to 14
2025-04-03T22:37:19.390+0000 [WARNING] Line 213 has 18 fields - truncating to 14
2025-04-03T22:37:19.391+0000 [WARNING] Line 214 has 18 fields - truncating to 14
2025-04-03T22:37:19.392+0000 [WARNING] Line 215 has 18 fields - truncating to 14
2025-04-03T22:37:19.392+0000 [WARNING] Line 216 has 18 fields - truncating to 14
2025-04-03T22:37:19.393+0000 [WARNING] Line 217 has 18 fields - truncating to 14
2025-04-03T22:37:19.394+0000 [WARNING] Line 218 has 18 fields - truncating to 14
2025-04-03T22:37:19.394+0000 [WARNING] Line 219 has 18 fields - truncating to 14
2025-04-03T22:37:19.395+0000 [WARNING] Line 220 has 18 fields - truncating to 14
2025-04-03T22:37:19.399+0000 [WARNING] Line 221 has 18 fields - truncating to 14
2025-04-03T22:37:19.400+0000 [WARNING] Line 222 has 18 fields - truncating to 14
2025-04-03T22:37:19.400+0000 [WARNING] Line 223 has 18 fields - truncating to 14
2025-04-03T22:37:19.401+0000 [WARNING] Line 224 has 18 fields - truncating to 14
2025-04-03T22:37:19.401+0000 [WARNING] Line 225 has 18 fields - truncating to 14
2025-04-03T22:37:19.402+0000 [WARNING] Line 226 has 18 fields - truncating to 14
2025-04-03T22:37:19.402+0000 [WARNING] Line 227 has 18 fields - truncating to 14
2025-04-03T22:37:19.403+0000 [WARNING] Line 228 has 18 fields - truncating to 14
2025-04-03T22:37:19.406+0000 [WARNING] Line 229 has 18 fields - truncating to 14
2025-04-03T22:37:19.416+0000 [WARNING] Line 230 has 18 fields - truncating to 14
2025-04-03T22:37:19.425+0000 [WARNING] Line 231 has 18 fields - truncating to 14
2025-04-03T22:37:19.433+0000 [WARNING] Line 232 has 18 fields - truncating to 14
2025-04-03T22:37:19.442+0000 [WARNING] Line 233 has 18 fields - truncating to 14
2025-04-03T22:37:19.450+0000 [WARNING] Line 234 has 18 fields - truncating to 14
2025-04-03T22:37:19.484+0000 [WARNING] Line 235 has 18 fields - truncating to 14
2025-04-03T22:37:19.486+0000 [WARNING] Line 236 has 18 fields - truncating to 14
2025-04-03T22:37:19.488+0000 [WARNING] Line 237 has 18 fields - truncating to 14
2025-04-03T22:37:19.491+0000 [WARNING] Line 238 has 18 fields - truncating to 14
2025-04-03T22:37:19.493+0000 [WARNING] Line 239 has 18 fields - truncating to 14
2025-04-03T22:37:19.494+0000 [WARNING] Line 240 has 18 fields - truncating to 14
2025-04-03T22:37:19.496+0000 [WARNING] Line 241 has 18 fields - truncating to 14
2025-04-03T22:37:19.497+0000 [WARNING] Line 242 has 18 fields - truncating to 14
2025-04-03T22:37:19.500+0000 [WARNING] Line 243 has 18 fields - truncating to 14
2025-04-03T22:37:19.504+0000 [WARNING] Line 244 has 18 fields - truncating to 14
2025-04-03T22:37:19.505+0000 [WARNING] Line 245 has 18 fields - truncating to 14
2025-04-03T22:37:19.508+0000 [WARNING] Line 246 has 18 fields - truncating to 14
2025-04-03T22:37:19.511+0000 [WARNING] Line 247 has 18 fields - truncating to 14
2025-04-03T22:37:19.512+0000 [WARNING] Line 248 has 18 fields - truncating to 14
2025-04-03T22:37:19.512+0000 [WARNING] Line 249 has 18 fields - truncating to 14
2025-04-03T22:37:19.513+0000 [WARNING] Line 250 has 18 fields - truncating to 14
2025-04-03T22:37:19.514+0000 [WARNING] Line 251 has 18 fields - truncating to 14
2025-04-03T22:37:19.515+0000 [WARNING] Line 252 has 18 fields - truncating to 14
2025-04-03T22:37:19.517+0000 [WARNING] Line 253 has 18 fields - truncating to 14
2025-04-03T22:37:19.518+0000 [WARNING] Line 254 has 18 fields - truncating to 14
2025-04-03T22:37:19.519+0000 [WARNING] Line 255 has 18 fields - truncating to 14
2025-04-03T22:37:19.520+0000 [WARNING] Line 256 has 18 fields - truncating to 14
2025-04-03T22:37:19.521+0000 [WARNING] Line 257 has 18 fields - truncating to 14
2025-04-03T22:37:19.521+0000 [WARNING] Line 258 has 18 fields - truncating to 14
2025-04-03T22:37:19.523+0000 [WARNING] Line 259 has 18 fields - truncating to 14
2025-04-03T22:37:19.524+0000 [WARNING] Line 260 has 18 fields - truncating to 14
2025-04-03T22:37:19.526+0000 [WARNING] Line 261 has 18 fields - truncating to 14
2025-04-03T22:37:19.527+0000 [WARNING] Line 262 has 18 fields - truncating to 14
2025-04-03T22:37:19.529+0000 [WARNING] Line 263 has 18 fields - truncating to 14
2025-04-03T22:37:19.531+0000 [WARNING] Line 264 has 18 fields - truncating to 14
2025-04-03T22:37:19.533+0000 [WARNING] Line 265 has 18 fields - truncating to 14
2025-04-03T22:37:19.535+0000 [WARNING] Line 266 has 18 fields - truncating to 14
2025-04-03T22:37:19.537+0000 [WARNING] Line 267 has 18 fields - truncating to 14
2025-04-03T22:37:19.538+0000 [WARNING] Line 268 has 18 fields - truncating to 14
2025-04-03T22:37:19.539+0000 [WARNING] Line 269 has 18 fields - truncating to 14
2025-04-03T22:37:19.541+0000 [WARNING] Line 270 has 18 fields - truncating to 14
2025-04-03T22:37:19.542+0000 [WARNING] Line 271 has 18 fields - truncating to 14
2025-04-03T22:37:19.543+0000 [WARNING] Line 272 has 18 fields - truncating to 14
2025-04-03T22:37:19.545+0000 [WARNING] Line 273 has 18 fields - truncating to 14
2025-04-03T22:37:19.546+0000 [WARNING] Line 274 has 18 fields - truncating to 14
2025-04-03T22:37:19.550+0000 [WARNING] Line 275 has 18 fields - truncating to 14
2025-04-03T22:37:19.553+0000 [WARNING] Line 276 has 18 fields - truncating to 14
2025-04-03T22:37:19.557+0000 [WARNING] Line 277 has 18 fields - truncating to 14
2025-04-03T22:37:19.559+0000 [WARNING] Line 278 has 18 fields - truncating to 14
2025-04-03T22:37:19.564+0000 [WARNING] Line 279 has 18 fields - truncating to 14
2025-04-03T22:37:19.567+0000 [WARNING] Line 280 has 18 fields - truncating to 14
2025-04-03T22:37:19.569+0000 [WARNING] Line 281 has 18 fields - truncating to 14
2025-04-03T22:37:19.570+0000 [WARNING] Line 282 has 18 fields - truncating to 14
2025-04-03T22:37:19.571+0000 [WARNING] Line 283 has 18 fields - truncating to 14
2025-04-03T22:37:19.584+0000 [WARNING] Line 284 has 18 fields - truncating to 14
2025-04-03T22:37:19.589+0000 [WARNING] Line 285 has 18 fields - truncating to 14
2025-04-03T22:37:19.594+0000 [WARNING] Line 286 has 18 fields - truncating to 14
2025-04-03T22:37:19.596+0000 [WARNING] Line 287 has 18 fields - truncating to 14
2025-04-03T22:37:19.597+0000 [WARNING] Line 288 has 18 fields - truncating to 14
2025-04-03T22:37:19.603+0000 [WARNING] Line 289 has 18 fields - truncating to 14
2025-04-03T22:37:19.608+0000 [WARNING] Line 290 has 18 fields - truncating to 14
2025-04-03T22:37:19.609+0000 [WARNING] Line 291 has 18 fields - truncating to 14
2025-04-03T22:37:19.614+0000 [WARNING] Line 292 has 18 fields - truncating to 14
2025-04-03T22:37:19.615+0000 [WARNING] Line 293 has 18 fields - truncating to 14
2025-04-03T22:37:19.617+0000 [WARNING] Line 294 has 18 fields - truncating to 14
2025-04-03T22:37:19.618+0000 [WARNING] Line 295 has 18 fields - truncating to 14
2025-04-03T22:37:19.619+0000 [WARNING] Line 296 has 18 fields - truncating to 14
2025-04-03T22:37:19.619+0000 [WARNING] Line 297 has 18 fields - truncating to 14
2025-04-03T22:37:19.621+0000 [WARNING] Line 298 has 18 fields - truncating to 14
2025-04-03T22:37:19.622+0000 [WARNING] Line 299 has 18 fields - truncating to 14
2025-04-03T22:37:19.627+0000 [WARNING] Line 300 has 18 fields - truncating to 14
2025-04-03T22:37:19.629+0000 [WARNING] Line 301 has 18 fields - truncating to 14
2025-04-03T22:37:19.631+0000 [WARNING] Line 302 has 18 fields - truncating to 14
2025-04-03T22:37:19.638+0000 [WARNING] Line 303 has 18 fields - truncating to 14
2025-04-03T22:37:19.646+0000 [WARNING] Line 304 has 18 fields - truncating to 14
2025-04-03T22:37:19.646+0000 [WARNING] Line 305 has 18 fields - truncating to 14
2025-04-03T22:37:19.647+0000 [WARNING] Line 306 has 18 fields - truncating to 14
2025-04-03T22:37:19.647+0000 [WARNING] Line 307 has 18 fields - truncating to 14
2025-04-03T22:37:19.647+0000 [WARNING] Line 308 has 18 fields - truncating to 14
2025-04-03T22:37:19.648+0000 [WARNING] Line 309 has 18 fields - truncating to 14
