2025-04-04T15:43:17.012+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T15:42:55.655381+00:00 [queued]>
2025-04-04T15:43:17.020+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T15:42:55.655381+00:00 [queued]>
2025-04-04T15:43:17.020+0000 [INFO] Starting attempt 1 of 4
2025-04-04T15:43:17.621+0000 [WARNING] Line 192 has 18 fields - truncating to 14
2025-04-04T15:43:17.621+0000 [WARNING] Line 193 has 18 fields - truncating to 14
2025-04-04T15:43:17.621+0000 [WARNING] Line 194 has 18 fields - truncating to 14
2025-04-04T15:43:17.622+0000 [WARNING] Line 195 has 18 fields - truncating to 14
2025-04-04T15:43:17.622+0000 [WARNING] Line 196 has 18 fields - truncating to 14
2025-04-04T15:43:17.622+0000 [WARNING] Line 197 has 18 fields - truncating to 14
2025-04-04T15:43:17.622+0000 [WARNING] Line 198 has 18 fields - truncating to 14
2025-04-04T15:43:17.622+0000 [WARNING] Line 199 has 18 fields - truncating to 14
2025-04-04T15:43:17.623+0000 [WARNING] Line 200 has 18 fields - truncating to 14
2025-04-04T15:43:17.623+0000 [WARNING] Line 201 has 18 fields - truncating to 14
2025-04-04T15:43:17.623+0000 [WARNING] Line 202 has 18 fields - truncating to 14
2025-04-04T15:43:17.623+0000 [WARNING] Line 203 has 18 fields - truncating to 14
2025-04-04T15:43:17.624+0000 [WARNING] Line 204 has 18 fields - truncating to 14
2025-04-04T15:43:17.624+0000 [WARNING] Line 205 has 18 fields - truncating to 14
2025-04-04T15:43:17.624+0000 [WARNING] Line 206 has 18 fields - truncating to 14
2025-04-04T15:43:17.625+0000 [WARNING] Line 207 has 18 fields - truncating to 14
2025-04-04T15:43:17.625+0000 [WARNING] Line 208 has 18 fields - truncating to 14
2025-04-04T15:43:17.625+0000 [WARNING] Line 209 has 18 fields - truncating to 14
2025-04-04T15:43:17.626+0000 [WARNING] Line 210 has 18 fields - truncating to 14
2025-04-04T15:43:17.626+0000 [WARNING] Line 211 has 18 fields - truncating to 14
2025-04-04T15:43:17.627+0000 [WARNING] Line 212 has 18 fields - truncating to 14
2025-04-04T15:43:17.627+0000 [WARNING] Line 213 has 18 fields - truncating to 14
2025-04-04T15:43:17.627+0000 [WARNING] Line 214 has 18 fields - truncating to 14
2025-04-04T15:43:17.627+0000 [WARNING] Line 215 has 18 fields - truncating to 14
2025-04-04T15:43:17.628+0000 [WARNING] Line 216 has 18 fields - truncating to 14
2025-04-04T15:43:17.628+0000 [WARNING] Line 217 has 18 fields - truncating to 14
2025-04-04T15:43:17.628+0000 [WARNING] Line 218 has 18 fields - truncating to 14
2025-04-04T15:43:17.629+0000 [WARNING] Line 219 has 18 fields - truncating to 14
2025-04-04T15:43:17.629+0000 [WARNING] Line 220 has 18 fields - truncating to 14
2025-04-04T15:43:17.629+0000 [WARNING] Line 221 has 18 fields - truncating to 14
2025-04-04T15:43:17.629+0000 [WARNING] Line 222 has 18 fields - truncating to 14
2025-04-04T15:43:17.630+0000 [WARNING] Line 223 has 18 fields - truncating to 14
2025-04-04T15:43:17.630+0000 [WARNING] Line 224 has 18 fields - truncating to 14
2025-04-04T15:43:17.630+0000 [WARNING] Line 225 has 18 fields - truncating to 14
2025-04-04T15:43:17.631+0000 [WARNING] Line 226 has 18 fields - truncating to 14
2025-04-04T15:43:17.631+0000 [WARNING] Line 227 has 18 fields - truncating to 14
2025-04-04T15:43:17.631+0000 [WARNING] Line 228 has 18 fields - truncating to 14
2025-04-04T15:43:17.631+0000 [WARNING] Line 229 has 18 fields - truncating to 14
2025-04-04T15:43:17.632+0000 [WARNING] Line 230 has 18 fields - truncating to 14
2025-04-04T15:43:17.632+0000 [WARNING] Line 231 has 18 fields - truncating to 14
2025-04-04T15:43:17.632+0000 [WARNING] Line 232 has 18 fields - truncating to 14
2025-04-04T15:43:17.633+0000 [WARNING] Line 233 has 18 fields - truncating to 14
2025-04-04T15:43:17.633+0000 [WARNING] Line 234 has 18 fields - truncating to 14
2025-04-04T15:43:17.633+0000 [WARNING] Line 235 has 18 fields - truncating to 14
2025-04-04T15:43:17.633+0000 [WARNING] Line 236 has 18 fields - truncating to 14
2025-04-04T15:43:17.634+0000 [WARNING] Line 237 has 18 fields - truncating to 14
2025-04-04T15:43:17.634+0000 [WARNING] Line 238 has 18 fields - truncating to 14
2025-04-04T15:43:17.635+0000 [WARNING] Line 239 has 18 fields - truncating to 14
2025-04-04T15:43:17.635+0000 [WARNING] Line 240 has 18 fields - truncating to 14
2025-04-04T15:43:17.636+0000 [WARNING] Line 241 has 18 fields - truncating to 14
2025-04-04T15:43:17.638+0000 [WARNING] Line 242 has 18 fields - truncating to 14
2025-04-04T15:43:17.638+0000 [WARNING] Line 243 has 18 fields - truncating to 14
2025-04-04T15:43:17.638+0000 [WARNING] Line 244 has 18 fields - truncating to 14
2025-04-04T15:43:17.638+0000 [WARNING] Line 245 has 18 fields - truncating to 14
2025-04-04T15:43:17.638+0000 [WARNING] Line 246 has 18 fields - truncating to 14
2025-04-04T15:43:17.638+0000 [WARNING] Line 251 has 18 fields - truncating to 14
2025-04-04T15:43:17.639+0000 [WARNING] Line 252 has 18 fields - truncating to 14
2025-04-04T15:43:17.639+0000 [WARNING] Line 253 has 18 fields - truncating to 14
2025-04-04T15:43:17.639+0000 [WARNING] Line 254 has 18 fields - truncating to 14
2025-04-04T15:43:17.639+0000 [WARNING] Line 255 has 18 fields - truncating to 14
2025-04-04T15:43:17.639+0000 [WARNING] Line 256 has 18 fields - truncating to 14
2025-04-04T15:43:17.640+0000 [WARNING] Line 257 has 18 fields - truncating to 14
2025-04-04T15:43:17.642+0000 [WARNING] Line 258 has 18 fields - truncating to 14
2025-04-04T15:43:17.642+0000 [WARNING] Line 259 has 18 fields - truncating to 14
2025-04-04T15:43:17.642+0000 [WARNING] Line 260 has 18 fields - truncating to 14
2025-04-04T15:43:17.642+0000 [WARNING] Line 261 has 18 fields - truncating to 14
2025-04-04T15:43:17.643+0000 [WARNING] Line 262 has 18 fields - truncating to 14
2025-04-04T15:43:17.643+0000 [WARNING] Line 263 has 18 fields - truncating to 14
2025-04-04T15:43:17.643+0000 [WARNING] Line 264 has 18 fields - truncating to 14
2025-04-04T15:43:17.643+0000 [WARNING] Line 265 has 18 fields - truncating to 14
2025-04-04T15:43:17.643+0000 [WARNING] Line 266 has 18 fields - truncating to 14
2025-04-04T15:43:17.643+0000 [WARNING] Line 267 has 18 fields - truncating to 14
2025-04-04T15:43:17.644+0000 [WARNING] Line 268 has 18 fields - truncating to 14
2025-04-04T15:43:17.644+0000 [WARNING] Line 269 has 18 fields - truncating to 14
2025-04-04T15:43:17.644+0000 [WARNING] Line 270 has 18 fields - truncating to 14
2025-04-04T15:43:17.644+0000 [WARNING] Line 271 has 18 fields - truncating to 14
2025-04-04T15:43:17.644+0000 [WARNING] Line 272 has 18 fields - truncating to 14
2025-04-04T15:43:17.644+0000 [WARNING] Line 273 has 18 fields - truncating to 14
2025-04-04T15:43:17.645+0000 [WARNING] Line 274 has 18 fields - truncating to 14
2025-04-04T15:43:17.646+0000 [WARNING] Line 275 has 18 fields - truncating to 14
2025-04-04T15:43:17.646+0000 [WARNING] Line 276 has 18 fields - truncating to 14
2025-04-04T15:43:17.646+0000 [WARNING] Line 277 has 18 fields - truncating to 14
2025-04-04T15:43:17.646+0000 [WARNING] Line 278 has 18 fields - truncating to 14
2025-04-04T15:43:17.646+0000 [WARNING] Line 279 has 18 fields - truncating to 14
2025-04-04T15:43:17.647+0000 [WARNING] Line 280 has 18 fields - truncating to 14
2025-04-04T15:43:17.647+0000 [WARNING] Line 281 has 18 fields - truncating to 14
2025-04-04T15:43:17.647+0000 [WARNING] Line 282 has 18 fields - truncating to 14
2025-04-04T15:43:17.647+0000 [WARNING] Line 283 has 18 fields - truncating to 14
2025-04-04T15:43:17.652+0000 [WARNING] Line 284 has 18 fields - truncating to 14
2025-04-04T15:43:17.652+0000 [WARNING] Line 285 has 18 fields - truncating to 14
2025-04-04T15:43:17.652+0000 [WARNING] Line 286 has 18 fields - truncating to 14
2025-04-04T15:43:17.652+0000 [WARNING] Line 287 has 18 fields - truncating to 14
2025-04-04T15:43:17.653+0000 [WARNING] Line 288 has 18 fields - truncating to 14
2025-04-04T15:43:17.653+0000 [WARNING] Line 289 has 18 fields - truncating to 14
2025-04-04T15:43:17.653+0000 [WARNING] Line 290 has 18 fields - truncating to 14
2025-04-04T15:43:17.653+0000 [WARNING] Line 291 has 18 fields - truncating to 14
2025-04-04T15:43:17.654+0000 [WARNING] Line 292 has 18 fields - truncating to 14
2025-04-04T15:43:17.654+0000 [WARNING] Line 293 has 18 fields - truncating to 14
2025-04-04T15:43:17.654+0000 [WARNING] Line 294 has 18 fields - truncating to 14
2025-04-04T15:43:17.654+0000 [WARNING] Line 295 has 18 fields - truncating to 14
2025-04-04T15:43:17.654+0000 [WARNING] Line 296 has 18 fields - truncating to 14
2025-04-04T15:43:17.655+0000 [WARNING] Line 297 has 18 fields - truncating to 14
2025-04-04T15:43:17.655+0000 [WARNING] Line 298 has 18 fields - truncating to 14
