2025-04-04T21:44:19.756+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T21:43:21.567094+00:00 [queued]>
2025-04-04T21:44:19.762+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T21:43:21.567094+00:00 [queued]>
2025-04-04T21:44:19.762+0000 [INFO] Starting attempt 1 of 4
2025-04-04T21:44:19.979+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-04 21:43:21.567094+00:00
2025-04-04T21:44:19.987+0000 [INFO] Started process 1869 to run task
2025-04-04T21:44:19.992+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'manual__2025-04-04T21:43:21.567094+00:00', '--job-id', '610', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpr8u6r7nm']
2025-04-04T21:44:19.995+0000 [INFO] Job 610: Subtask processing.extract
2025-04-04T21:44:20.172+0000 [WARNING] Line 94 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.172+0000 [WARNING] Line 95 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.172+0000 [WARNING] Line 96 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.172+0000 [WARNING] Line 97 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.172+0000 [WARNING] Line 98 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.172+0000 [WARNING] Line 99 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.172+0000 [WARNING] Line 100 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.173+0000 [WARNING] Line 101 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.173+0000 [WARNING] Line 102 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.173+0000 [WARNING] Line 103 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.173+0000 [WARNING] Line 104 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.173+0000 [WARNING] Line 105 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.173+0000 [WARNING] Line 106 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.173+0000 [WARNING] Line 107 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.173+0000 [WARNING] Line 108 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.174+0000 [WARNING] Line 109 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.174+0000 [WARNING] Line 110 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.174+0000 [WARNING] Line 111 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.174+0000 [WARNING] Line 112 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.174+0000 [WARNING] Line 113 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.174+0000 [WARNING] Line 114 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.174+0000 [WARNING] Line 115 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.174+0000 [WARNING] Line 116 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.174+0000 [WARNING] Line 117 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.175+0000 [WARNING] Line 118 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.175+0000 [WARNING] Line 119 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.175+0000 [WARNING] Line 120 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.175+0000 [WARNING] Line 121 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.175+0000 [WARNING] Line 122 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.175+0000 [WARNING] Line 123 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.175+0000 [WARNING] Line 124 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.175+0000 [WARNING] Line 125 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.176+0000 [WARNING] Line 126 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.176+0000 [WARNING] Line 127 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.176+0000 [WARNING] Line 128 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.176+0000 [WARNING] Line 129 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.176+0000 [WARNING] Line 130 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.177+0000 [WARNING] Line 131 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.177+0000 [WARNING] Line 132 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.177+0000 [WARNING] Line 133 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.177+0000 [WARNING] Line 134 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.178+0000 [WARNING] Line 135 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.178+0000 [WARNING] Line 136 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.178+0000 [WARNING] Line 137 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.178+0000 [WARNING] Line 138 has 18 fields - attempting smart truncation
