2025-04-03T22:15:08.391+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:53:45.219886+00:00 [queued]>
2025-04-03T22:15:08.400+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:53:45.219886+00:00 [queued]>
2025-04-03T22:15:08.402+0000 [INFO] Starting attempt 2 of 4
2025-04-03T22:15:08.413+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 21:53:45.219886+00:00
2025-04-03T22:15:08.418+0000 [INFO] Started process 1564 to run task
2025-04-03T22:15:08.428+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T21:53:45.219886+00:00', '--job-id', '505', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpjdcp82zt']
2025-04-03T22:15:08.471+0000 [INFO] Job 505: Subtask processing.extract
2025-04-03T22:15:08.579+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:53:45.219886+00:00 [running]> on host 8d34dc648251
2025-04-03T22:15:11.139+0000 [WARNING] Line 73 has 18 fields - truncating to 14
2025-04-03T22:15:11.140+0000 [WARNING] Line 74 has 18 fields - truncating to 14
2025-04-03T22:15:11.140+0000 [WARNING] Line 75 has 18 fields - truncating to 14
2025-04-03T22:15:11.141+0000 [WARNING] Line 76 has 18 fields - truncating to 14
2025-04-03T22:15:11.141+0000 [WARNING] Line 77 has 18 fields - truncating to 14
2025-04-03T22:15:11.141+0000 [WARNING] Line 78 has 18 fields - truncating to 14
2025-04-03T22:15:11.142+0000 [WARNING] Line 79 has 18 fields - truncating to 14
2025-04-03T22:15:11.142+0000 [WARNING] Line 80 has 18 fields - truncating to 14
2025-04-03T22:15:11.143+0000 [WARNING] Line 81 has 18 fields - truncating to 14
2025-04-03T22:15:11.144+0000 [WARNING] Line 82 has 18 fields - truncating to 14
2025-04-03T22:15:11.145+0000 [WARNING] Line 83 has 18 fields - truncating to 14
2025-04-03T22:15:11.147+0000 [WARNING] Line 84 has 18 fields - truncating to 14
2025-04-03T22:15:11.147+0000 [WARNING] Line 85 has 18 fields - truncating to 14
2025-04-03T22:15:11.148+0000 [WARNING] Line 86 has 18 fields - truncating to 14
2025-04-03T22:15:11.149+0000 [WARNING] Line 87 has 18 fields - truncating to 14
2025-04-03T22:15:11.149+0000 [WARNING] Line 88 has 18 fields - truncating to 14
2025-04-03T22:15:11.149+0000 [WARNING] Line 89 has 18 fields - truncating to 14
2025-04-03T22:15:11.150+0000 [WARNING] Line 90 has 18 fields - truncating to 14
2025-04-03T22:15:11.150+0000 [WARNING] Line 91 has 18 fields - truncating to 14
2025-04-03T22:15:11.150+0000 [WARNING] Line 92 has 18 fields - truncating to 14
2025-04-03T22:15:11.150+0000 [WARNING] Line 93 has 18 fields - truncating to 14
2025-04-03T22:15:11.150+0000 [WARNING] Line 94 has 18 fields - truncating to 14
2025-04-03T22:15:11.150+0000 [WARNING] Line 95 has 18 fields - truncating to 14
2025-04-03T22:15:11.150+0000 [WARNING] Line 96 has 18 fields - truncating to 14
2025-04-03T22:15:11.150+0000 [WARNING] Line 97 has 18 fields - truncating to 14
2025-04-03T22:15:11.150+0000 [WARNING] Line 98 has 18 fields - truncating to 14
2025-04-03T22:15:11.151+0000 [WARNING] Line 99 has 18 fields - truncating to 14
2025-04-03T22:15:11.151+0000 [WARNING] Line 100 has 18 fields - truncating to 14
2025-04-03T22:15:11.151+0000 [WARNING] Line 101 has 18 fields - truncating to 14
2025-04-03T22:15:11.151+0000 [WARNING] Line 102 has 18 fields - truncating to 14
2025-04-03T22:15:11.151+0000 [WARNING] Line 103 has 18 fields - truncating to 14
2025-04-03T22:15:11.151+0000 [WARNING] Line 104 has 18 fields - truncating to 14
2025-04-03T22:15:11.151+0000 [WARNING] Line 105 has 18 fields - truncating to 14
2025-04-03T22:15:11.151+0000 [WARNING] Line 106 has 18 fields - truncating to 14
2025-04-03T22:15:11.151+0000 [WARNING] Line 107 has 18 fields - truncating to 14
2025-04-03T22:15:11.152+0000 [WARNING] Line 108 has 18 fields - truncating to 14
2025-04-03T22:15:11.152+0000 [WARNING] Line 109 has 18 fields - truncating to 14
2025-04-03T22:15:11.152+0000 [WARNING] Line 110 has 18 fields - truncating to 14
2025-04-03T22:15:11.152+0000 [WARNING] Line 111 has 18 fields - truncating to 14
2025-04-03T22:15:11.152+0000 [WARNING] Line 112 has 18 fields - truncating to 14
2025-04-03T22:15:11.152+0000 [WARNING] Line 113 has 18 fields - truncating to 14
2025-04-03T22:15:11.152+0000 [WARNING] Line 114 has 18 fields - truncating to 14
2025-04-03T22:15:11.152+0000 [WARNING] Line 115 has 18 fields - truncating to 14
2025-04-03T22:15:11.152+0000 [WARNING] Line 116 has 18 fields - truncating to 14
2025-04-03T22:15:11.152+0000 [WARNING] Line 117 has 18 fields - truncating to 14
2025-04-03T22:15:11.153+0000 [WARNING] Line 118 has 18 fields - truncating to 14
2025-04-03T22:15:11.153+0000 [WARNING] Line 119 has 18 fields - truncating to 14
2025-04-03T22:15:11.153+0000 [WARNING] Line 120 has 18 fields - truncating to 14
2025-04-03T22:15:11.153+0000 [WARNING] Line 121 has 18 fields - truncating to 14
2025-04-03T22:15:11.153+0000 [WARNING] Line 122 has 18 fields - truncating to 14
2025-04-03T22:15:11.153+0000 [WARNING] Line 123 has 18 fields - truncating to 14
2025-04-03T22:15:11.153+0000 [WARNING] Line 124 has 18 fields - truncating to 14
2025-04-03T22:15:11.153+0000 [WARNING] Line 125 has 18 fields - truncating to 14
2025-04-03T22:15:11.153+0000 [WARNING] Line 126 has 18 fields - truncating to 14
2025-04-03T22:15:11.154+0000 [WARNING] Line 127 has 18 fields - truncating to 14
2025-04-03T22:15:11.154+0000 [WARNING] Line 128 has 18 fields - truncating to 14
2025-04-03T22:15:11.154+0000 [WARNING] Line 129 has 18 fields - truncating to 14
2025-04-03T22:15:11.154+0000 [WARNING] Line 130 has 18 fields - truncating to 14
2025-04-03T22:15:11.154+0000 [WARNING] Line 131 has 18 fields - truncating to 14
2025-04-03T22:15:11.154+0000 [WARNING] Line 132 has 18 fields - truncating to 14
2025-04-03T22:15:11.154+0000 [WARNING] Line 133 has 18 fields - truncating to 14
2025-04-03T22:15:11.154+0000 [WARNING] Line 134 has 18 fields - truncating to 14
2025-04-03T22:15:11.155+0000 [WARNING] Line 135 has 18 fields - truncating to 14
2025-04-03T22:15:11.155+0000 [WARNING] Line 136 has 18 fields - truncating to 14
2025-04-03T22:15:11.155+0000 [WARNING] Line 137 has 18 fields - truncating to 14
2025-04-03T22:15:11.155+0000 [WARNING] Line 138 has 18 fields - truncating to 14
2025-04-03T22:15:11.155+0000 [WARNING] Line 139 has 18 fields - truncating to 14
2025-04-03T22:15:11.155+0000 [WARNING] Line 140 has 18 fields - truncating to 14
2025-04-03T22:15:11.155+0000 [WARNING] Line 141 has 18 fields - truncating to 14
2025-04-03T22:15:11.156+0000 [WARNING] Line 142 has 18 fields - truncating to 14
2025-04-03T22:15:11.156+0000 [WARNING] Line 143 has 18 fields - truncating to 14
2025-04-03T22:15:11.156+0000 [WARNING] Line 144 has 18 fields - truncating to 14
2025-04-03T22:15:11.156+0000 [WARNING] Line 145 has 18 fields - truncating to 14
2025-04-03T22:15:11.156+0000 [WARNING] Line 146 has 18 fields - truncating to 14
2025-04-03T22:15:11.156+0000 [WARNING] Line 147 has 18 fields - truncating to 14
2025-04-03T22:15:11.156+0000 [WARNING] Line 148 has 18 fields - truncating to 14
2025-04-03T22:15:11.156+0000 [WARNING] Line 149 has 18 fields - truncating to 14
2025-04-03T22:15:11.156+0000 [WARNING] Line 150 has 18 fields - truncating to 14
2025-04-03T22:15:11.157+0000 [WARNING] Line 151 has 18 fields - truncating to 14
2025-04-03T22:15:11.157+0000 [WARNING] Line 152 has 18 fields - truncating to 14
2025-04-03T22:15:11.157+0000 [WARNING] Line 153 has 18 fields - truncating to 14
2025-04-03T22:15:11.157+0000 [WARNING] Line 154 has 18 fields - truncating to 14
2025-04-03T22:15:11.157+0000 [WARNING] Line 155 has 18 fields - truncating to 14
2025-04-03T22:15:11.157+0000 [WARNING] Line 156 has 18 fields - truncating to 14
2025-04-03T22:15:11.157+0000 [WARNING] Line 157 has 18 fields - truncating to 14
2025-04-03T22:15:11.157+0000 [WARNING] Line 158 has 18 fields - truncating to 14
2025-04-03T22:15:11.157+0000 [WARNING] Line 159 has 18 fields - truncating to 14
2025-04-03T22:15:11.158+0000 [WARNING] Line 160 has 18 fields - truncating to 14
2025-04-03T22:15:11.158+0000 [WARNING] Line 161 has 18 fields - truncating to 14
2025-04-03T22:15:11.158+0000 [WARNING] Line 162 has 18 fields - truncating to 14
2025-04-03T22:15:11.158+0000 [WARNING] Line 163 has 18 fields - truncating to 14
2025-04-03T22:15:11.158+0000 [WARNING] Line 164 has 18 fields - truncating to 14
2025-04-03T22:15:11.158+0000 [WARNING] Line 165 has 18 fields - truncating to 14
2025-04-03T22:15:11.158+0000 [WARNING] Line 166 has 18 fields - truncating to 14
2025-04-03T22:15:11.158+0000 [WARNING] Line 167 has 18 fields - truncating to 14
2025-04-03T22:15:11.158+0000 [WARNING] Line 168 has 18 fields - truncating to 14
2025-04-03T22:15:11.159+0000 [WARNING] Line 169 has 18 fields - truncating to 14
2025-04-03T22:15:11.159+0000 [WARNING] Line 170 has 18 fields - truncating to 14
2025-04-03T22:15:11.159+0000 [WARNING] Line 171 has 18 fields - truncating to 14
2025-04-03T22:15:11.159+0000 [WARNING] Line 172 has 18 fields - truncating to 14
2025-04-03T22:15:11.159+0000 [WARNING] Line 173 has 18 fields - truncating to 14
