2025-04-03T22:34:11.595+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:32:57.477413+00:00 [queued]>
2025-04-03T22:34:11.634+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:32:57.477413+00:00 [queued]>
2025-04-03T22:34:11.638+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:34:11.657+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:32:57.477413+00:00
2025-04-03T22:34:11.661+0000 [INFO] Started process 1163 to run task
2025-04-03T22:34:11.667+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T22:32:57.477413+00:00', '--job-id', '375', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmprsdp0nhj']
2025-04-03T22:34:11.675+0000 [INFO] Job 375: Subtask processing.extract
2025-04-03T22:34:11.803+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:32:57.477413+00:00 [running]> on host 13c9a988b40a
2025-04-03T22:34:15.718+0000 [WARNING] Line 14 has 18 fields - truncating to 14
2025-04-03T22:34:15.719+0000 [WARNING] Line 15 has 18 fields - truncating to 14
2025-04-03T22:34:15.719+0000 [WARNING] Line 16 has 18 fields - truncating to 14
2025-04-03T22:34:15.720+0000 [WARNING] Line 17 has 18 fields - truncating to 14
2025-04-03T22:34:15.721+0000 [WARNING] Line 18 has 18 fields - truncating to 14
2025-04-03T22:34:15.722+0000 [WARNING] Line 19 has 18 fields - truncating to 14
2025-04-03T22:34:15.722+0000 [WARNING] Line 20 has 18 fields - truncating to 14
2025-04-03T22:34:15.722+0000 [WARNING] Line 21 has 18 fields - truncating to 14
2025-04-03T22:34:15.723+0000 [WARNING] Line 22 has 18 fields - truncating to 14
2025-04-03T22:34:15.724+0000 [WARNING] Line 23 has 18 fields - truncating to 14
2025-04-03T22:34:15.724+0000 [WARNING] Line 24 has 18 fields - truncating to 14
2025-04-03T22:34:15.727+0000 [WARNING] Line 25 has 18 fields - truncating to 14
2025-04-03T22:34:15.727+0000 [WARNING] Line 26 has 18 fields - truncating to 14
2025-04-03T22:34:15.727+0000 [WARNING] Line 27 has 18 fields - truncating to 14
2025-04-03T22:34:15.728+0000 [WARNING] Line 28 has 18 fields - truncating to 14
2025-04-03T22:34:15.728+0000 [WARNING] Line 29 has 18 fields - truncating to 14
2025-04-03T22:34:15.728+0000 [WARNING] Line 30 has 18 fields - truncating to 14
2025-04-03T22:34:15.729+0000 [WARNING] Line 31 has 18 fields - truncating to 14
2025-04-03T22:34:15.729+0000 [WARNING] Line 32 has 18 fields - truncating to 14
2025-04-03T22:34:15.731+0000 [WARNING] Line 33 has 18 fields - truncating to 14
2025-04-03T22:34:15.732+0000 [WARNING] Line 34 has 18 fields - truncating to 14
2025-04-03T22:34:15.732+0000 [WARNING] Line 35 has 18 fields - truncating to 14
2025-04-03T22:34:15.733+0000 [WARNING] Line 36 has 18 fields - truncating to 14
2025-04-03T22:34:15.733+0000 [WARNING] Line 37 has 18 fields - truncating to 14
2025-04-03T22:34:15.734+0000 [WARNING] Line 38 has 18 fields - truncating to 14
2025-04-03T22:34:15.734+0000 [WARNING] Line 39 has 18 fields - truncating to 14
2025-04-03T22:34:15.735+0000 [WARNING] Line 40 has 18 fields - truncating to 14
2025-04-03T22:34:15.735+0000 [WARNING] Line 41 has 18 fields - truncating to 14
2025-04-03T22:34:15.735+0000 [WARNING] Line 42 has 18 fields - truncating to 14
2025-04-03T22:34:15.736+0000 [WARNING] Line 43 has 18 fields - truncating to 14
2025-04-03T22:34:15.736+0000 [WARNING] Line 44 has 18 fields - truncating to 14
2025-04-03T22:34:15.736+0000 [WARNING] Line 45 has 18 fields - truncating to 14
2025-04-03T22:34:15.737+0000 [WARNING] Line 46 has 18 fields - truncating to 14
2025-04-03T22:34:15.737+0000 [WARNING] Line 47 has 18 fields - truncating to 14
2025-04-03T22:34:15.738+0000 [WARNING] Line 48 has 18 fields - truncating to 14
